State,Population,Deaths,Abbrev
Alabama,4833722,723,AL
Alaska,735132,124,AK
Arizona,6626624,1211,AZ
Arkansas,2959373,356,AR
California,38332521,4521,CA
Colorado,5268367,899,CO
Connecticut,3596080,623,CT
Delaware,925749,189,DE
Florida,19552860,2634,FL
Georgia,9992167,1206,GA
Hawaii,1404054,157,HI
Idaho,1612136,212,ID
Illinois,12882135,1705,IL
Indiana,6570902,1172,IN
Iowa,3090416,264,IA
Kansas,2893957,332,KS
Kentucky,4395295,1077,KY
Louisiana,4625470,777,LA
Maine,1328302,216,ME
Maryland,5928814,1070,MD
Massachusetts,6692824,1289,MA
Michigan,9895622,1762,MI
Minnesota,5420380,517,MN
Mississippi,2991207,336,MS
Missouri,6044171,1067,MO
Montana,1015165,125,MT
Nebraska,1868516,125,NE
Nevada,2790136,545,NV
New Hampshire,1323459,334,NH
New Jersey,8899339,1253,NJ
New Mexico,2085287,547,NM
New York,19651127,2300,NY
North Carolina,9848060,1358,NC
North Dakota,723393,43,ND
Ohio,11570808,2744,OH
Oklahoma,3850568,777,OK
Oregon,3930065,522,OR
Pennsylvania,12773801,2732,PA
Rhode Island,1051511,247,RI
South Carolina,4774839,701,SC
South Dakota,844877,63,SD
Tennessee,6495978,1269,TN
Texas,26448193,2601,TX
Utah,2900872,603,UT
Vermont,626630,83,VT
Virginia,8260405,980,VA
Washington,6971406,979,WA
West Virginia,1854304,627,WV
Wisconsin,5742713,853,WI
Wyoming,582658,109,WY
